instance,testbed,family,z_ref,ref_status,proven,gap_ks-full,obj_ks-full,gap_ks-cg,obj_ks-cg,gap_fks-cg,obj_fks-cg
p1000-1000-33,Test Bed B,1000x1000,999570.21657,Proven Optimal,True,,,,,,
p1000-1000-34,Test Bed B,1000x1000,998906.49963,Proven Optimal,True,,,,,,
p1000-1000-35,Test Bed B,1000x1000,1020804.47352,Proven Optimal,True,,,,,,
p1000-1000-36,Test Bed B,1000x1000,605976.40375,Proven Optimal,True,,,,,,
p1000-1000-37,Test Bed B,1000x1000,596561.82172,Proven Optimal,True,,,,,,
p1000-1000-38,Test Bed B,1000x1000,622213.00597,Proven Optimal,True,,,,,,
p1000-1000-39,Test Bed B,1000x1000,587007.96835,Proven Optimal,True,,,,,,
p1000-1000-40,Test Bed B,1000x1000,617652.87296,Proven Optimal,True,,,,,,
p1000-1000-41,Test Bed B,1000x1000,396619.58315,Proven Optimal,True,,,,,,
p1000-1000-42,Test Bed B,1000x1000,380313.04965,Proven Optimal,True,,,,,,
p1000-1000-43,Test Bed B,1000x1000,393433.31419,Proven Optimal,True,,,,,,
p1000-1000-44,Test Bed B,1000x1000,400760.80226,Proven Optimal,True,,,,,,
p1000-1000-45,Test Bed B,1000x1000,391616.50834,Proven Optimal,True,,,,,,
p1000-1000-46,Test Bed B,1000x1000,158934.91255,Best Known,False,,,,,,
p1000-1000-47,Test Bed B,1000x1000,162594.0463,Best Known,False,,,,,,
p1000-1000-48,Test Bed B,1000x1000,155564.00067,Best Known,False,,,,,,
p1000-1000-49,Test Bed B,1000x1000,153085.60963,Best Known (Limit Exceeded),False,,,,,,
p1000-1000-50,Test Bed B,1000x1000,152008.86747,Best Known,False,,,,,,
p1000-1000-51,Test Bed B,1000x1000,118960.26417,Best Known,False,,,,,,
p1000-1000-52,Test Bed B,1000x1000,114889.65837,Best Known,False,,,,,,
p1000-1000-53,Test Bed B,1000x1000,117535.56704,Best Known,False,,,,,,
p1000-1000-54,Test Bed B,1000x1000,117585.9472,Best Known,False,,,,,,
p1000-1000-55,Test Bed B,1000x1000,115264.19555,Best Known,False,,,,,,
p1000-1000-56,Test Bed B,1000x1000,101922.48852,Proven Optimal,True,,,,,,
